File,Width (m),Thickness (m),Confinement Factor (1D Y)
E_field_data_1.19e-006 7.1e-007.mat,1.19e-06,7.1e-07,0.9753647768920538
E_field_data_1.19e-006 6.9e-007.mat,1.19e-06,6.9e-07,0.9731692549806223
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.97571297165249
E_field_data_1.17e-006 7.3e-007.mat,1.17e-06,7.3e-07,0.9744367925813529
E_field_data_1.23e-006 7.3e-007.mat,1.23e-06,7.3e-07,0.9770916009592293
E_field_data_1.15e-006 6.7e-007.mat,1.15e-06,6.7e-07,0.9708850010841652
E_field_data_1.21e-006 6.7e-007.mat,1.21e-06,6.7e-07,0.9746016400065021
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.9704580546319544
E_field_data_1.21e-006 7.5e-007.mat,1.21e-06,7.5e-07,0.9744333313000753
E_field_data_1.15e-006 7.3e-007.mat,1.15e-06,7.3e-07,0.9730602110437264
E_field_data_1.21e-006 7.3e-007.mat,1.21e-06,7.3e-07,0.9765521170572887
E_field_data_1.17e-006 6.7e-007.mat,1.17e-06,6.7e-07,0.9722789864220603
E_field_data_1.25e-006 7.3e-007.mat,1.25e-06,7.3e-07,0.977871227864834
E_field_data_1.17e-006 7.5e-007.mat,1.17e-06,7.5e-07,0.9720008724680305
E_field_data_1.19e-006 6.5e-007.mat,1.19e-06,6.5e-07,0.976026923933638
E_field_data_1.23e-006 7.5e-007.mat,1.23e-06,7.5e-07,0.9751701114712861
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.9787796717641211
E_field_data_1.21e-006 6.5e-007.mat,1.21e-06,6.5e-07,0.9770713963201192
E_field_data_1.17e-006 6.9e-007.mat,1.17e-06,6.9e-07,0.971697754616603
E_field_data_1.17e-006 7.1e-007.mat,1.17e-06,7.1e-07,0.9746975494282313
E_field_data_1.23e-006 7.1e-007.mat,1.23e-06,7.1e-07,0.9819953535066502
E_field_data_1.19e-006 7.3e-007.mat,1.19e-06,7.3e-07,0.9756909560019985
E_field_data_1.19e-006 6.7e-007.mat,1.19e-06,6.7e-07,0.9734404567526398
E_field_data_1.17e-006 6.5e-007.mat,1.17e-06,6.5e-07,0.9747702230027465
E_field_data_1.19e-006 7.5e-007.mat,1.19e-06,7.5e-07,0.979878585836629
E_field_data_1.25e-006 7.1e-007.mat,1.25e-06,7.1e-07,0.9783077223807771
E_field_data_1.15e-006 6.9e-007.mat,1.15e-06,6.9e-07,0.9705014547123236
E_field_data_1.15e-006 7.1e-007.mat,1.15e-06,7.1e-07,0.9736155113306444
E_field_data_1.21e-006 6.9e-007.mat,1.21e-06,6.9e-07,0.9741332542151669
E_field_data_1.21e-006 7.1e-007.mat,1.21e-06,7.1e-07,0.983611470127174
