File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.265e-006 7.15e-007.mat,1.265e-06,7.15e-07,0.6856611638673075
E_field_data_1.255e-006 7.2e-007.mat,1.255e-06,7.2e-07,0.6766434814433822
E_field_data_1.26e-006 7.2e-007.mat,1.26e-06,7.2e-07,0.6766444676054446
E_field_data_1.245e-006 7.15e-007.mat,1.245e-06,7.15e-07,0.6866045969676666
E_field_data_1.25e-006 7.15e-007.mat,1.25e-06,7.15e-07,0.6860241809812636
E_field_data_1.255e-006 7.15e-007.mat,1.255e-06,7.15e-07,0.685988746638525
E_field_data_1.23e-006 7.2e-007.mat,1.23e-06,7.2e-07,0.676804370409339
E_field_data_1.235e-006 7.15e-007.mat,1.235e-06,7.15e-07,0.6860817536731576
E_field_data_1.23e-006 7.05e-007.mat,1.23e-06,7.05e-07,0.6829978866736083
E_field_data_1.265e-006 7e-007.mat,1.265e-06,7e-07,0.6706978182644375
E_field_data_1.26e-006 7.15e-007.mat,1.26e-06,7.15e-07,0.6859900202871754
E_field_data_1.24e-006 7.25e-007.mat,1.24e-06,7.25e-07,0.6797730714312245
E_field_data_1.265e-006 7.2e-007.mat,1.265e-06,7.2e-07,0.676377250280859
E_field_data_1.265e-006 7.05e-007.mat,1.265e-06,7.05e-07,0.682869170676351
E_field_data_1.24e-006 7.2e-007.mat,1.24e-06,7.2e-07,0.676735411934861
E_field_data_1.25e-006 7.05e-007.mat,1.25e-06,7.05e-07,0.6830690082071518
E_field_data_1.245e-006 7.05e-007.mat,1.245e-06,7.05e-07,0.6836970470821543
E_field_data_1.235e-006 7e-007.mat,1.235e-06,7e-07,0.6704497451124444
E_field_data_1.255e-006 7.05e-007.mat,1.255e-06,7.05e-07,0.6830833190989797
E_field_data_1.245e-006 7.1e-007.mat,1.245e-06,7.1e-07,0.6743107594122176
E_field_data_1.23e-006 7.15e-007.mat,1.23e-06,7.15e-07,0.6861468519893632
E_field_data_1.235e-006 7.05e-007.mat,1.235e-06,7.05e-07,0.682990368336751
E_field_data_1.25e-006 7.2e-007.mat,1.25e-06,7.2e-07,0.6766632442901891
E_field_data_1.26e-006 7.05e-007.mat,1.26e-06,7.05e-07,0.6830839762347174
E_field_data_1.235e-006 7.2e-007.mat,1.235e-06,7.2e-07,0.6767341100168796
E_field_data_1.26e-006 7e-007.mat,1.26e-06,7e-07,0.6707131730126473
E_field_data_1.23e-006 7e-007.mat,1.23e-06,7e-07,0.6703927858650708
E_field_data_1.265e-006 7.1e-007.mat,1.265e-06,7.1e-07,0.6734904691588308
E_field_data_1.23e-006 7.1e-007.mat,1.23e-06,7.1e-07,0.6735518277698347
E_field_data_1.23e-006 7.25e-007.mat,1.23e-06,7.25e-07,0.6794668670786352
E_field_data_1.245e-006 7e-007.mat,1.245e-06,7e-07,0.6711252401480233
E_field_data_1.255e-006 7.1e-007.mat,1.255e-06,7.1e-07,0.6736204527683791
E_field_data_1.24e-006 7e-007.mat,1.24e-06,7e-07,0.6704502045349976
E_field_data_1.26e-006 7.1e-007.mat,1.26e-06,7.1e-07,0.67362093414802
E_field_data_1.24e-006 7.05e-007.mat,1.24e-06,7.05e-07,0.6829916029879267
E_field_data_1.235e-006 7.1e-007.mat,1.235e-06,7.1e-07,0.6735411665411758
E_field_data_1.265e-006 7.25e-007.mat,1.265e-06,7.25e-07,0.6792792528710416
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.6705475494234575
E_field_data_1.255e-006 7.25e-007.mat,1.255e-06,7.25e-07,0.6797216930150167
E_field_data_1.25e-006 7.25e-007.mat,1.25e-06,7.25e-07,0.6797799930294396
E_field_data_1.25e-006 7.1e-007.mat,1.25e-06,7.1e-07,0.6736089868027858
E_field_data_1.245e-006 7.25e-007.mat,1.245e-06,7.25e-07,0.6801793583428863
E_field_data_1.26e-006 7.25e-007.mat,1.26e-06,7.25e-07,0.6797232344640605
E_field_data_1.245e-006 7.2e-007.mat,1.245e-06,7.2e-07,0.6772970380316333
E_field_data_1.235e-006 7.25e-007.mat,1.235e-06,7.25e-07,0.6797725142907625
E_field_data_1.24e-006 7.1e-007.mat,1.24e-06,7.1e-07,0.6735422244583376
E_field_data_1.255e-006 7e-007.mat,1.255e-06,7e-07,0.6707122160458595
E_field_data_1.24e-006 7.15e-007.mat,1.24e-06,7.15e-07,0.6860831451645267
