width,thickness,transmission
1.23e-06,7e-07,0.998107
1.235e-06,7e-07,0.998106
1.24e-06,7e-07,0.998108
1.245e-06,7e-07,0.998107
1.25e-06,7e-07,0.998109
1.255e-06,7e-07,0.998109
1.26e-06,7e-07,0.998111
1.265e-06,7e-07,0.99811
1.23e-06,7.05e-07,0.998107
1.235e-06,7.05e-07,0.998109
1.24e-06,7.05e-07,0.998108
1.245e-06,7.05e-07,0.99811
1.25e-06,7.05e-07,0.998109
1.255e-06,7.05e-07,0.998112
1.26e-06,7.05e-07,0.998111
1.265e-06,7.05e-07,0.998113
1.23e-06,7.1e-07,0.998109
1.235e-06,7.1e-07,0.998109
1.24e-06,7.1e-07,0.998111
1.245e-06,7.1e-07,0.99811
1.25e-06,7.1e-07,0.998112
1.255e-06,7.1e-07,0.998111
1.26e-06,7.1e-07,0.998113
1.265e-06,7.1e-07,0.998113
1.23e-06,7.15e-07,0.99811
1.235e-06,7.15e-07,0.998112
1.24e-06,7.15e-07,0.998111
1.245e-06,7.15e-07,0.998113
1.25e-06,7.15e-07,0.998112
1.255e-06,7.15e-07,0.998115
1.26e-06,7.15e-07,0.998114
1.265e-06,7.15e-07,0.998116
1.23e-06,7.2e-07,0.998112
1.235e-06,7.2e-07,0.998112
1.24e-06,7.2e-07,0.998113
1.245e-06,7.2e-07,0.998113
1.25e-06,7.2e-07,0.998114
1.255e-06,7.2e-07,0.998114
1.26e-06,7.2e-07,0.998116
1.265e-06,7.2e-07,0.998115
1.23e-06,7.25e-07,0.998113
1.235e-06,7.25e-07,0.998115
1.24e-06,7.25e-07,0.998114
1.245e-06,7.25e-07,0.998116
1.25e-06,7.25e-07,0.998115
1.255e-06,7.25e-07,0.998118
1.26e-06,7.25e-07,0.998117
1.265e-06,7.25e-07,0.998119
